storm_ident,storm_tfbh,storm_ename,storm_name,storm_begin_time,storm_end_time,storm_is_current,row_type,source_set,cds_label_guess,analysis_index,base_time,init_time_utc,init_time_bjt,point_count,min_lead_hour_from_base,max_lead_hour_from_base,time_interval_counts,first_time,last_time,first_lat,first_lon,last_lat,last_lon,first_pressure_hpa,last_pressure_hpa,first_speed,last_speed,first_power,last_power,first_strong,last_strong,fields
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,analysis,best_track,best_track,,,,,65,,,3h:64,2026-07-27T14:00:00,2026-08-04T14:00:00,13.2,176.9,25.3,141.9,998,935,18,52,8,16,热带风暴(TS),超强台风(Super TY),forecast|lat|lng|move_dir|move_speed|power|pressure|radius10|radius10_quad|radius12|radius12_quad|radius7|radius7_quad|remark|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,forecast,欧洲,欧洲,60,2026-08-04T02:00:00,,,24,6.0,144.0,6h:23,2026-08-04T08:00:00,2026-08-10T02:00:00,24.9,143.0,28.3,122.0,963,961,40,29,13,11,台风(TY),强热带风暴(STS),lat|lng|power|pressure|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,forecast,SD3,SD3,60,2026-08-04T02:00:00,2026-08-01T12:00:00,2026-08-01T20:00:00,41,54.0,294.0,6h:40,2026-08-04T02:00:00,2026-08-14T02:00:00,25.1,144.2,31.8,119.2,940,989,48,14,15,7,强台风(STY),热带低压(TD),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,forecast,AIFS,ECMWF AIFS,62,2026-08-04T08:00:00,2026-08-04T00:00:00,2026-08-04T08:00:00,41,0.0,240.0,6h:40,2026-08-04T08:00:00,2026-08-14T08:00:00,25.2,143.2,44.8,120.8,945,995,48,6,15,7,强台风(STY),热带低压(TD),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,mean_or_ensemble_mean,AIFSM,ECMWF AIFS mean,62,2026-08-04T08:00:00,2026-08-04T00:00:00,2026-08-04T08:00:00,40,0.0,234.0,6h:39,2026-08-04T08:00:00,2026-08-14T02:00:00,25.1,143.0,38.3,125.2,960,993,0,0,7,7,热带低压(TD),热带低压(TD),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,forecast,ECMWF,ECMWF,62,2026-08-04T08:00:00,2026-08-04T00:00:00,2026-08-04T08:00:00,41,0.0,240.0,6h:40,2026-08-04T08:00:00,2026-08-14T08:00:00,25.2,143.2,36.8,115.5,945,982,48,12,15,7,强台风(STY),热带低压(TD),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,mean_or_ensemble_mean,ECMWFM,ECMWF mean,62,2026-08-04T08:00:00,2026-08-04T00:00:00,2026-08-04T08:00:00,35,0.0,204.0,6h:34,2026-08-04T08:00:00,2026-08-12T20:00:00,25.1,142.9,32.7,120.4,959,983,40.6,18.4,13,8,台风(TY),热带风暴(TS),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,forecast,FNV3,FNV3,62,2026-08-04T08:00:00,2026-08-04T00:00:00,2026-08-04T08:00:00,41,0.0,240.0,6h:40,2026-08-04T08:00:00,2026-08-14T08:00:00,25.1,143.2,38.0,122.3,947.0,991.6,49.5,14.3,15,7,强台风(STY),热带低压(TD),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,forecast,GFS,GFS,62,2026-08-04T08:00:00,2026-08-04T00:00:00,2026-08-04T08:00:00,40,0.0,234.0,6h:39,2026-08-04T08:00:00,2026-08-14T02:00:00,25.2,143.2,35.8,115.2,945,995,48,6,15,7,强台风(STY),热带低压(TD),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,mean_or_ensemble_mean,AIGEFSM,AI GEFS mean,62,2026-08-04T08:00:00,2026-08-04T00:00:00,2026-08-04T08:00:00,41,0.0,240.0,6h:40,2026-08-04T08:00:00,2026-08-14T08:00:00,25.2,143.1,37.5,121.7,966.0,996.0,43.0,10.0,14,7,强台风(STY),热带低压(TD),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
202613,202613,DOLPHIN,白海豚,2026-07-27T14:00:00,2026-08-04T14:00:00,1,forecast,AICON,AI ICON / ICON-like,62,2026-08-04T08:00:00,2026-08-04T00:00:00,2026-08-04T08:00:00,31,0.0,180.0,6h:30,2026-08-04T08:00:00,2026-08-11T20:00:00,25.2,143.2,31.8,134.5,945,974,48,21,15,9,强台风(STY),热带风暴(TS),forecastTime|lat|lng|power|pressure|radius10_quad|radius12_quad|radius7_quad|speed|strong|time
